                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82119,                 2.3234,                 1.3381,                0.00333,                      1,                0.94929,                0.77214,                0.30178,                 2.9913,                0.95349,                0.00016,                0.00016,                0.00016
                      2,                 0.6798,                 1.3714,                 1.2249,                      1,                0.32714,                0.96408,                0.75246,                0.58898,                 2.7584,                 1.1695,             0.00033663,             0.00033663,             0.00033663
                      3,                0.72753,                 1.1794,                 1.2854,                0.92619,                0.62748,                0.87811,                0.56042,                0.74513,                 3.0204,                  1.402,              0.0005097,              0.0005097,              0.0005097
                      4,                0.69559,                 1.1703,                 1.2043,                0.96062,                0.61009,                0.84586,                0.43693,                0.88865,                 2.8405,                 1.6499,             0.00067921,             0.00067921,             0.00067921
                      5,                0.71477,                 1.0801,                 1.2003,                0.77888,                    0.6,                0.77378,                0.42485,                 1.0089,                 2.5968,                 1.7946,             0.00084515,             0.00084515,             0.00084515
                      6,                0.75701,                 1.0339,                 1.2362,                0.83654,                   0.65,                0.80676,                0.46983,                 1.1339,                 2.4882,                 1.7474,              0.0010075,              0.0010075,              0.0010075
                      7,                0.69277,                0.96663,                 1.1611,                0.68037,                  0.675,                0.78908,                0.45535,                 1.1892,                 2.6365,                 1.9688,              0.0011663,              0.0011663,              0.0011663
                      8,                0.69137,                0.95699,                  1.189,                0.41381,                    0.6,                 0.5592,                0.25325,                 1.3239,                 2.8003,                 2.1682,              0.0013216,              0.0013216,              0.0013216
                      9,                0.74297,                 1.0081,                 1.2407,                0.73882,                   0.65,                  0.734,                0.38321,                 1.4244,                  2.283,                 2.7237,              0.0014733,              0.0014733,              0.0014733
                     10,                0.79932,                 1.0267,                 1.2887,                0.58508,                   0.45,                 0.4669,                0.24465,                 1.6346,                 2.3613,                  3.027,              0.0016214,              0.0016214,              0.0016214
                     11,                0.75069,                0.90708,                 1.2699,                0.65341,                  0.725,                0.76274,                0.40315,                   1.31,                  1.867,                 2.3248,               0.001766,               0.001766,               0.001766
                     12,                0.77023,                0.89995,                 1.2244,                0.74762,                  0.825,                0.88706,                0.59533,                 1.0361,                 1.5739,                 1.7517,              0.0017822,              0.0017822,              0.0017822
                     13,                0.74963,                0.87976,                 1.2135,                0.72555,                    0.9,                0.82877,                0.58555,                0.95355,                 1.6696,                 1.7833,              0.0017624,              0.0017624,              0.0017624
